              T              E              M            C_V            chi
              2     -1.7420497      0.9005397      1.2228489      10.151817
           2.05     -1.6996678     0.86112158      1.6565993      37.089994
            2.1     -1.6579337     0.85222333      1.4672751      16.776275
           2.15     -1.6053764     0.81698194         1.6228      18.767446
            2.2     -1.5423734     0.76924239      1.7719939      18.246803
           2.25     -1.4631601     0.66691993      2.0588984      37.764588
            2.3     -1.3575109     0.45587967      2.1812359      59.967385
           2.35     -1.2724489     0.27930377      1.5656621      46.430267
            2.4     -1.2042053     0.16863976      1.1187974      21.062218
           2.45      -1.151741     0.12562022     0.96431625      13.145894
            2.5     -1.1059791     0.10457462     0.84805325      8.9339687
